City Hall,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB032,"100 Queen Street West, Nathan Phillips Square, Toronto, ON, M5H 2N3",416-393-7650,-79.38399259259257,43.65336666666666
Cliffcrest,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB033,"3017 Kingston Road, Toronto, ON, M1M 1P1",416-396-8916,-79.23077,43.72517
College/Shaw,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB034,"766 College Street, Toronto, ON, M6G 1C4",416-393-7668,-79.4201111111111,43.65515925925925
Danforth/Coxwell,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB035,"1675 Danforth Ave., Toronto, ON, M4C 5P2",416-393-7783,-79.32139999999998,43.683574074074066
Davenport,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB036,"1246 Shaw Street, Toronto, ON, M6G 3P1",416-393-7732,-79.42845185185184,43.67452962962962
Dawes Road,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB037,"416 Dawes Road, Toronto, ON, M4B 2E8",416-396-3820,-79.29732592592592,43.70117407407407
Deer Park,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB038,"40 St. Clair Ave. E., Toronto, ON, M4T 1M9",416-393-7657,-79.39248148148147,43.68858148148147
Don Mills,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB09,"888 Lawrence Ave. East, Toronto, ON, M3C 1P6",416-395-5710,-79.34734074074075,43.73664074074071
Downsview,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB039,"2793 Keele Street, Toronto, ON, M3M 2G3",416-395-5720,-79.48205185185185,43.72887037037032
Dufferin/St. Clair,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB040,"1625 Dufferin Street, Toronto, ON, M6H 3L9",416-393-7712,-79.4424074074074,43.67692962962961
Eatonville,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB041,"430 Burnhamthorpe Road, Toronto, ON, M9B 2B1",416-394-5270,-79.55916296296293,43.6461222222222
Eglinton Square,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB042,"1 Eglinton Square, Unit 126, Eglinton Square Shopping Centre, Toronto, ON, M1L 2K1",416-396-8920,-79.30033333333333,43.723685185185175
Elmbrook Park,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB043,"2 Elmbrook Cres., Toronto, ON, M9C 5B4",416-394-5290,-79.58384444444444,43.6601222222222
Evelyn Gregory,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB044,"120 Trowell Ave., Toronto, ON, M6M 1L7",416-394-1006,-79.47234814814814,43.68618888888887
Fairview,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB010,"35 Fairview Mall Dr., Toronto, ON, M2J 4S4",416-395-5750,-79.34664444444443,43.77902592592591
Flemingdon Park,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB045,"29 St. Dennis Dr., Toronto, ON, M3C 3J3",416-395-5820,-79.33175555555552,43.717811111111104
Forest Hill,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB046,"700 Eglinton Ave. West, Toronto, ON, M5N 1B9",416-393-7706,-79.42057037037035,43.702366666666634
Fort York,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB140,"190 Fort York Boulevard, Toronto, ON M5V 0E7",416-393-6240,-79.4003296,43.6393204
Gerrard/Ashdale,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB047,"1432 Gerrard Street East, Toronto, ON, M4L 1Z6",416-393-7717,-79.3221259259259,43.67246296296294
Goldhawk Park,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB048,"295 Alton Towers Circle, Toronto, ON, M1V 4P1",416-396-8964,-79.27799259259261,43.82397407407406
Guildwood,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB139,"123 Guildwood Parkway, Guildwood Plaza, Toronto, ON, M1E 4V2",416-396-8872,-79.1998888888889,43.74667037037035
High Park,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB049,"228 Roncesvalles Ave., Toronto, ON, M6R 2L7",416-393-7671,-79.44898518518518,43.645203703703686
Highland Creek,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB050,"3550 Ellesmere Road, Toronto, ON, M1C 3Z2",416-396-8876,-79.17520740740741,43.789959259259255
Hillcrest,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB051,"5801 Leslie Street, Toronto, ON, M2H 1J8",416-395-5830,-79.36904444444444,43.797025925925915
Humber Bay,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB052,"200 Park Lawn Road, Toronto, ON, M8Y 3J1",416-394-5300,-79.4911925925926,43.62995925925924
Humber Summit,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB053,"2990 Islington Ave., Toronto, ON, M9L 2K6",416-395-5840,-79.57151851851851,43.75898148148147
Humberwood,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB054,"850 Humberwood Blvd., Toronto, ON, M9W 7A6",416-394-5210,-79.61916296296296,43.72899629629626
Jane/Dundas,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB055,"620 Jane Street, Toronto, ON, M6S 4A6",416-394-1014,-79.49141481481482,43.66547037037034
Jane/Sheppard,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB056,"1906 Sheppard Ave West, Toronto, ON, M3L 1Y7",416-395-5966,-79.51005,43.73988
Jones,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB057,"118 Jones Ave., Toronto, ON, M4M 2Z9",416-393-7715,-79.3344962962963,43.66595185185183
Kennedy/Eglinton,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB138,"2380 Eglinton Ave. East, Liberty Square Plaza, Toronto, ON, M1K 2P3",416-396-8924,-79.27049629629628,43.73215925925921
Leaside,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB059,"165 McRae Dr., Toronto, ON, M4G 1S8",416-396-3835,-79.36756296296295,43.70649259259256
Lillian H. Smith,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB011,"239 College Street, Toronto, ON, M5T 1R5",416-393-7746,-79.3984,43.6581
Locke,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB060,"3083 Yonge Street, Toronto, ON, M4N 2K7",416-393-7730,-79.40181481481482,43.72487777777776
Long Branch,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB061,"3500 Lake Shore Blvd. West, Toronto, ON, M8W 1N6",416-394-5320,-79.5315037037037,43.59526296296294
Main Street,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB062,"137 Main Street, Toronto, ON, M4E 2V9",416-393-7700,-79.29957777777775,43.68335925925925
Malvern,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB012,"30 Sewells Road, Toronto, ON, M1B 3G5",416-396-8969,-79.21606666666663,43.808314814814814
Maria A. Shchuka,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB013,"1745 Eglinton Avenue W, Toronto, ON, M6E 2H4",416-394-1000,-79.44719259259258,43.69612962962959
Maryvale,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB063,"85 Ellesmere Road, Unit 16, Parkway Mall, Toronto, ON, M1R 4B9",416-396-8931,-79.3117111111111,43.757262962962955
McGregor Park,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB064,"2219 Lawrence Ave. East, Toronto, ON, M1P 2P5",416-396-8935,-79.28071851851852,43.747707407407404
Mimico Centennial,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB065,"47 Station Road, Toronto, ON, M8V 2R1",416-394-5330,-79.49390370370371,43.61490740740739
Morningside,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB066,"4279 Lawrence Ave. East, Toronto, ON, M1E 2S8",416-396-8881,-79.17854074074076,43.76988518518516
Mount Dennis,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB067,"1123 Weston Road, Toronto, ON, M6N 3S3",416-394-1008,-79.48825925925925,43.686581481481475
Mount Pleasant,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB068,"599 Mt. Pleasant Road, Toronto, ON, M4S 2M5",416-393-7737,-79.38812592592595,43.703899999999976
New Toronto,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB069,"110 Eleventh Street, Toronto, ON, M8V 3G5",416-394-5350,-79.50974074074074,43.599085185185174
North York Central Library,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB01,"5120 Yonge Street, Toronto, ON, M2N 5N9",416-395-5535,-79.41424444,43.76807778
Northern District,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB014,"40 Orchard View Blvd., Toronto, ON, M4R 1B9",416-393-7610,-79.39987407407408,43.708240740740706
Northern Elms,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB070,"123B Rexdale Blvd., Unit 5, Toronto, ON, M9W 1P1",416-394-5230,-79.56554814814814,43.71132962962962
Oakwood Village Library and Arts Centre,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB071,"341 Oakwood Ave., Toronto, ON, M6E 2W1",416-394-1040,-79.4381111111111,43.68654444444444
Palmerston,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB072,"560 Palmerston Ave., Toronto, ON, M6G 2P7",416-393-7680,-79.41405185185185,43.66509259259255
Pape/Danforth,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB015,"701 Pape Ave., Toronto, ON, M4K 3S6",416-393-7727,-79.34457037037036,43.67855925925923
Parkdale,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB073,"1303 Queen Street West, Toronto, ON, M6K 1L6",416-393-7686,-79.43265925925925,43.64117407407406
Parliament Street,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB074,"269 Gerrard Street East, Toronto, ON, M5A 2G3",416-393-7663,-79.36779999999999,43.66180370370367
Perth/Dupont,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB075,"1589 Dupont Street, Toronto, ON, M6P 3S5",416-393-7677,-79.45382962962962,43.6650333333333
Pleasant View,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB076,"575 Van Horne Ave., Toronto, ON, M2J 4S8",416-395-5940,-79.33542962962961,43.787559259259254
Port Union,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB077,"5450 Lawrence Ave. East, Toronto, ON, M1C 3B2",416-396-8885,-79.14028888888889,43.77947777777776
Queen/Saulter,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB078,"765 Queen Street East, Toronto, ON, M4M 1H3",416-393-7723,-79.34759259259259,43.65914444444443
Rexdale,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB079,"2243 Kipling Avenue, Toronto, ON, M9W 4L5",416-394-5200,-79.57320740740741,43.72612962962962
Richview,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB016,"1806 Islington Ave., Toronto, ON, M9P 3N3",416-394-5120,-79.5411185185185,43.68340370370369
Riverdale,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB080,"370 Broadview Ave., Toronto, ON, M4K 2M8",416-393-7720,-79.35316296296295,43.66575925925923
Runnymede,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB081,"2178 Bloor Street West, Toronto, ON, M6S 1M8",416-393-7697,-79.47384444444442,43.65185555555554
Scarborough Civic Centre,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB144,"156 Borough Dr., Toronto, ON, M1P 4N7",416-396-3599,-79.2567640,43.7720960
S. Walter Stewart,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB017,"170 Memorial Park Ave., Toronto, ON, M4J 2K5",416-396-3975,-79.32969629629627,43.6921148148148
Sanderson,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB085,"327 Bathurst Street, Toronto, ON, M5T 1J1",416-393-7653,-79.40551851851849,43.65208518518517
Spadina Road,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB086,"10 Spadina Road, Toronto, ON, M5R 2S7",416-393-7666,-79.40437777777778,43.66715925925923
St. Clair/Silverthorn,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB082,"1748 St. Clair Ave. West, Toronto, ON, M6N 1J3",416-393-7709,-79.4605851851852,43.674262962962956
St. James Town,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB083,"495 Sherbourne Street, Toronto, ON, M4X 1K7",416-393-7744,-79.37446666666666,43.667262962962944
St. Lawrence,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB084,"171 Front Street East, Toronto, ON, M5A 4H3",416-393-7655,-79.36849629629628,43.64998148148147
Steeles,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB087,"Bamburgh Gardens Shopping Plaza, C107-375 Bamburgh Circle, Toronto, ON, M1W 3Y1",416-396-8975,-79.32230370370368,43.81538148148147
Swansea Memorial,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB088,"95 Lavinia Ave., Toronto, ON, M6S 3H9",416-393-7695,-79.47802222222221,43.64792962962962
Taylor Memorial,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB089,"1440 Kingston Road, Toronto, ON, M1N 1R3",416-396-8939,-79.27125185185186,43.68778148148149
Thorncliffe,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB090,"48 Thorncliffe Park Dr., Toronto, ON, M4H 1J7",416-396-3865,-79.34264444444442,43.70290740740739
Todmorden Room,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB091,"1081 1/2 Pape Ave (at Torrens), Toronto, ON, M4K 3W6",416-396-3875,-79.34932592592591,43.691625925925905
Toronto Reference Library,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB018,"789 Yonge Street, Toronto, ON, M4W 2G8",416-395-5577,-79.38676296296297,43.671737037037005
Victoria Village,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB092,"184 Sloane Ave., Toronto, ON, M4A 2C4",416-395-5950,-79.3129111111111,43.736011111111075
Weston,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB093,"2 King Street, Toronto, ON, M9N 1K9",416-394-1016,-79.52058518518517,43.701796296296266
Woodside Square,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB094,"Woodside Square Mall, 1571 Sandhurst Circle, Toronto, ON, M1V 1V2",416-396-8979,-79.26954814814812,43.809462962962954
Woodview Park,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB095,"16 Bradstock Road, Toronto, ON, M9M 1M8",416-395-5960,-79.53894074074073,43.7397222222222
Wychwood,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB096,"1431 Bathurst Street, Toronto, ON, M5R 3J2",416-393-7683,-79.41754814814814,43.682181481481464
York Woods,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB019,"1785 Finch Ave. West, Toronto, ON, M3N 1M6",416-395-5980,-79.50726666666665,43.758892592592574
Yorkville,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB097,"22 Yorkville Ave., Toronto, ON, M4W 1L4",416-393-7660,-79.38864444444445,43.6718259259259
